,Country/Region,Province/State,Latitude,Longitude
0,Mainland China,Hubei,30.9756,112.2707
1,South Korea,,36.0,128.0
2,Italy,,43.0,12.0
3,Iran,,32.0,53.0
4,Mainland China,Guangdong,23.3417,113.4244
5,Mainland China,Henan,33.882,113.614
6,Mainland China,Zhejiang,29.1832,120.0934
7,Mainland China,Hunan,27.6104,111.7088
8,Mainland China,Anhui,31.8257,117.2264
9,Mainland China,Jiangxi,27.614,115.7221
10,Mainland China,Shandong,36.3427,118.1498
11,Others,Diamond Princess cruise ship,35.4437,139.638
12,Mainland China,Jiangsu,32.9711,119.455
13,Mainland China,Chongqing,30.0572,107.874
14,Mainland China,Sichuan,30.6171,102.7103
15,Mainland China,Heilongjiang,47.862,127.7615
16,Mainland China,Beijing,40.1824,116.4142
17,Mainland China,Shanghai,31.202,121.4491
18,Mainland China,Hebei,38.0428,114.5149
19,Mainland China,Fujian,26.0789,117.9874
20,Japan,,36.0,138.0
21,Mainland China,Guangxi,23.8298,108.7881
22,Mainland China,Shaanxi,35.1917,108.8701
23,France,,47.0,2.0
24,Germany,,51.0,9.0
25,Mainland China,Yunnan,24.974,101.487
26,Mainland China,Hainan,19.1959,109.7453
27,Spain,,40.0,-4.0
28,Mainland China,Guizhou,26.8154,106.8748
29,Mainland China,Tianjin,39.3054,117.323
30,Mainland China,Shanxi,37.5777,112.2922
31,Mainland China,Liaoning,41.2956,122.6085
32,Singapore,,1.2833,103.8333
33,Hong Kong,Hong Kong,22.3,114.2
34,Mainland China,Jilin,43.6661,126.1923
35,Mainland China,Gansu,36.0611,103.8343
36,Mainland China,Xinjiang,41.1129,85.2401
37,Mainland China,Inner Mongolia,44.0935,113.9448
38,Mainland China,Ningxia,37.2692,106.1655
39,Kuwait,,29.5,47.75
40,Switzerland,,46.8182,8.2275
41,UK,,55.0,-3.0
42,Bahrain,,26.0275,50.55
43,US,Unassigned Location (From Diamond Princess),35.4437,139.638
44,Thailand,,15.0,101.0
45,Taiwan,Taiwan,23.7,121.0
46,Malaysia,,2.5,112.5
47,Iraq,,33.0,44.0
48,Norway,,60.472,8.4689
49,United Arab Emirates,,24.0,54.0
50,Netherlands,,52.1326,5.2913
51,Austria,,47.5162,14.5501
52,Sweden,,63.0,16.0
53,US,"King County, WA",47.548,-121.9836
54,Canada,"Toronto, ON",43.6532,-79.3832
55,Mainland China,Qinghai,35.7452,95.9956
56,Vietnam,,16.0,108.0
57,Australia,New South Wales,-33.8688,151.2093
58,Belgium,,50.8333,4.0
59,Lebanon,,33.8547,35.8623
60,Israel,,31.0,35.0
61,Oman,,21.0,57.0
62,Australia,Queensland,-28.0167,153.4
63,Iceland,,64.9631,-19.0208
64,US,"Santa Clara, CA",37.3541,-121.9552
65,Macau,Macau,22.1667,113.55
66,San Marino,,43.9424,12.4578
67,Australia,Victoria,-37.8136,144.9631
68,Canada,British Columbia,49.2827,-123.1207
69,Croatia,,45.1667,15.5
70,Ecuador,,-1.8312,-78.1834
71,Greece,,39.0742,21.8243
72,Qatar,,25.3548,51.1839
73,Denmark,,56.2639,9.5018
74,Finland,,64.0,26.0
75,US,"Snohomish County, WA",48.033,-121.8339
76,Algeria,,28.0339,1.6596
77,Czech Republic,,49.8175,15.473
78,India,,21.0,78.0
79,Mexico,,23.0,-102.0
80,Pakistan,,30.3753,69.3451
81,US,"Cook County, IL",41.7377,-87.6976
82,Australia,South Australia,-34.9285,138.6007
83,Azerbaijan,,40.1431,47.5769
84,Georgia,,42.3154,43.3569
85,Philippines,,13.0,122.0
86,Romania,,46.0,25.0
87,Russia,,60.0,90.0
88,Australia,Western Australia,-31.9505,115.8605
89,Brazil,,-14.235,-51.9253
90,Egypt,,26.0,30.0
91,Estonia,,58.5953,25.0136
92,Indonesia,,-0.7893,113.9213
93,Ireland,,53.1424,-7.6921
94,Portugal,,39.3999,-8.2245
95,Senegal,,14.4974,-14.4524
96,US,"Fulton County, GA",33.8034,-84.3963
97,US,"Grafton County, NH",43.9088,-71.826
98,US,"Hillsborough, FL",27.9904,-82.3018
99,US,"Providence, RI",41.824,-71.4128
100,US,"Sacramento County, CA",38.4747,-121.3542
101,US,"San Benito, CA",36.5761,-120.9876
102,US,"San Diego County, CA",32.7157,-117.1611
103,US,"San Mateo, CA",37.563,-122.3255
104,US,"Washington County, OR",45.547,-123.1386
105,Afghanistan,,33.0,65.0
106,Andorra,,42.5063,1.5218
107,Argentina,,-38.4161,-63.6167
108,Armenia,,40.0691,45.0382
109,Australia,Tasmania,-41.4545,145.9707
110,Belarus,,53.7098,27.9534
111,Cambodia,,11.55,104.9167
112,Canada," Montreal, QC",45.5017,-73.5673
113,Canada,"London, ON",42.9849,-81.2453
114,Chile,,-35.6751,-71.543
115,Dominican Republic,,18.7357,-70.1627
116,Jordan,,31.24,36.51
117,Latvia,,56.8796,24.6032
118,Lithuania,,55.1694,23.8813
119,Luxembourg,,49.8144,6.1317
120,Mainland China,Tibet,31.6927,88.0924
121,Monaco,,43.7333,7.4167
122,Morocco,,31.7917,-7.0926
123,Nepal,,28.1667,84.25
124,New Zealand,,-40.9006,174.886
125,Nigeria,,9.082,8.6753
126,North Macedonia,,41.6086,21.7453
127,Saudi Arabia,,24.0,45.0
128,Sri Lanka,,7.0,81.0
129,US," Norfolk County, MA",42.1767,-71.1449
130,US,"Berkeley, CA",37.8715,-122.273
131,US,"Boston, MA",42.3601,-71.0589
132,US,"Humboldt County, CA",40.745,-123.8695
133,US,"Los Angeles, CA",34.0522,-118.2437
134,US,"Madison, WI",43.0731,-89.4012
135,US,"Maricopa County, AZ",33.2918,-112.4291
136,US,"New York City, NY",40.7128,-74.006
137,US,"Orange, CA",33.7879,-117.8531
138,US,"Placer County, CA",39.0916,-120.8039
139,US,"San Antonio, TX",29.4241,-98.4936
140,US,"Sarasota, FL",27.3364,-82.5307
141,US,"Sonoma County, CA",38.578,-122.9888
142,US,"Tempe, AZ",33.4255,-111.94
143,US,"Umatilla, OR",45.775,-118.7606
144,US,"Wake County, NC",35.8032,-78.5661
145,US,"Westchester County, NY",41.122,-73.7949
146,Ukraine,,48.3794,31.1656
147,Australia,From Diamond Princess,35.4437,139.638
148,US,"Lackland, TX (From Diamond Princess)",29.3829,-98.6134
149,US,"Omaha, NE (From Diamond Princess)",41.2545,-95.9758
150,US,"Travis, CA (From Diamond Princess)",38.2721,-121.9399
151,Mainland China,Hubei,,
152,Mainland China,Guangdong,,
153,Mainland China,Zhejiang,,
154,Mainland China,Henan,,
155,Mainland China,Hunan,,
156,Mainland China,Anhui,,
157,Mainland China,Jiangxi,,
158,Mainland China,Jiangsu,,
159,Mainland China,Chongqing,,
160,Mainland China,Shandong,,
161,Mainland China,Sichuan,,
162,Mainland China,Heilongjiang,,
163,Mainland China,Beijing,,
164,Mainland China,Shanghai,,
165,Mainland China,Fujian,,
166,Mainland China,Hebei,,
167,Mainland China,Shaanxi,,
168,Mainland China,Guangxi,,
169,Mainland China,Yunnan,,
170,Mainland China,Hainan,,
171,Others,Diamond Princess cruise ship,,
172,Mainland China,Guizhou,,
173,Mainland China,Shanxi,,
174,Mainland China,Liaoning,,
175,Mainland China,Tianjin,,
176,Mainland China,Gansu,,
177,Mainland China,Jilin,,
178,Mainland China,Inner Mongolia,,
179,Mainland China,Xinjiang,,
180,Mainland China,Ningxia,,
181,Hong Kong,Hong Kong,,
182,Singapore,,,
183,Thailand,,,
184,South Korea,,,
185,Japan,,,
186,Mainland China,Qinghai,,
187,Malaysia,,,
188,Taiwan,Taiwan,,
189,Germany,,,
190,Vietnam,,,
191,France,,,
192,Macau,Macau,,
193,UK,,,
194,United Arab Emirates,,,
195,Australia,Queensland,,
196,Australia,New South Wales,,
197,Australia,Victoria,,
198,Canada,British Columbia,,
199,India,,,
200,Italy,,,
201,Philippines,,,
202,Australia,South Australia,,
203,Canada,"Toronto, ON",,
204,Russia,,,
205,Spain,,,
206,US,"Chicago, IL",,
