,Country/Region,Province/State,MapTo,Latitude,Longitude
0, Azerbaijan,,Azerbaijan,40.143,47.577
1,Afghanistan,,Afghanistan,33,65
2,Albania,,Albania,41.1533,20.1683
3,Algeria,,Algeria,28.0339,1.6596
4,Andorra,,Andorra,42.5063,1.5218
5,Antigua and Barbuda,,Antigua and Barbuda,17.0608,-61.7964
6,Argentina,,Argentina,-38.4161,-63.6167
7,Armenia,,Armenia,40.0691,45.0382
8,Aruba,,Aruba,12.5211,-69.9683
9,Australia,Australian Capital Territory,Australia,-35.4735,149.0124
10,Australia,From Diamond Princess,Australia,35.4437,139.638
11,Australia,New South Wales,Australia,-33.8688,151.2093
12,Australia,Northern Territory,Australia,-12.4634,130.8456
13,Australia,Queensland,Australia,-28.0167,153.4
14,Australia,South Australia,Australia,-34.9285,138.6007
15,Australia,Tasmania,Australia,-41.4545,145.9707
16,Australia,Victoria,Australia,-37.8136,144.9631
17,Australia,Western Australia,Australia,-31.9505,115.8605
18,Australia,,Australia,-25.27,133.77
19,Austria,None,Austria,47.516,14.55
20,Austria,,Austria,47.5162,14.5501
21,Azerbaijan,,Azerbaijan,40.1431,47.5769
22,Bahrain,,Bahrain,26.0275,50.55
23,Bangladesh,,Bangladesh,23.685,90.3563
24,Belarus,,Belarus,53.7098,27.9534
25,Belgium,,Belgium,50.5039,4.4699
26,Bhutan,,Bhutan,27.5142,90.4336
27,Bolivia,,Bolivia,-16.2902,-63.5887
28,Bosnia and Herzegovina,,Bosnia and Herzegovina,43.9159,17.6791
29,Brazil,,Brazil,-14.235,-51.9253
30,Brunei,,Brunei,4.5353,114.7277
31,Bulgaria,,Bulgaria,42.7339,25.4858
32,Burkina Faso,,Burkina Faso,12.2383,-1.5616
33,Cambodia,,Cambodia,11.55,104.9167
34,Cameroon,,Cameroon,3.848,11.5021
35,Canada, Montreal,Canada,45.5017,-73.5673
36,Canada,Alberta,Canada,53.9333,-116.5765
37,Canada,British Columbia,Canada,49.2827,-123.1207
38,Canada,Calgary,Canada,51.0447,-114.0719
39,Canada,Edmonton,Canada,53.5461,-113.4938
40,Canada,Grand Princess,Canada,37.6489,-122.6655
41,Canada,London,Canada,42.9849,-81.2453
42,Canada,Manitoba,Canada,53.7609,-98.8139
43,Canada,New Brunswick,Canada,46.5653,-66.4619
44,Canada,Ontario,Canada,51.2538,-85.3232
